SITE,PLATFORM,Network,Array,GDAC,WMO_ID,ORIG_DESC_YYYYMM,UPDATE_PI_EMAIL,UPDATE_DATE_YYYYMM,SITE_DESCRIPTION,LAT,LON,TYPE,OCEAN,STATUS,DATA_TYPE,PHYS,MET,GEOPHYS,BGCHEM,CO2,FLUX,AirSeaFlux_Ref,COUNTRY,AGENCY,JCOMMOPS_PROGRAM,INFOURL,DATAURL,MetadataURL,PI,EMAILS,MISC,Observatory_or_Project,DAC,DataManager,DataManagementAgency
OVIDE-IRMINGERSEA-1,IRMINGERSEA-T1,OVIDE,, -, - ,200502,pascale.lherminier@ifremer.fr, - ,Irminger Sea OVIDE:1,59.700,-41.800,transport,Atlantic,OPERATING,Delayed Mode Data; Not Accessible,1,,,,,,,FRANCE,France-IFREMER,,http://www.ifremer.fr/lpo/ovide /, - ,,Lherminier,pascale.lherminier@ifremer.fr,,OVIDE,-,-,-
OVIDE-IRMINGERSEA-2,IRMINGERSEA-T2,OVIDE,, -, - ,200502,pascale.lherminier@ifremer.fr, - ,Irminger Sea OVIDE:2,59.800,-42.600,transport,Atlantic,OPERATING,Delayed Mode Data; Not Accessible,1,,,,,,,FRANCE,France-IFREMER,,http://www.ifremer.fr/lpo/ovide/ , - ,,Lherminier,pascale.lherminier@ifremer.fr,,OVIDE,-,-,-
P06N10W,P06N10W,PIRATA,TROPICAL ATLANTIC,(NDBC),15006, - ,nathalie.lefevre@ird.fr,200804,"pCO2 on PIRATA mooring at 06S, 10W",-6.000,-10.000,observatory,Atlantic,OPERATING,Real Time & Delayed Mode Data; Accessible,1,1,,1,1,,,FRANCE,France-IRDLOCEAN,,http://cdiac.ornl.gov/,http://www.locean-ipsl.upmc.fr/CO2tropiques/,,McPhaden (PMEL);Lefevre (LODYC),michael.j.mcphaden@noaa.gov;nathalie.lefevre@ird.fr,,PIRATA,-,-,-
P08N38W,P08N38W,PIRATA,TROPICAL ATLANTIC,(NDBC),13009, - ,nathalie.lefevre@ird.fr, - ,"pCO2 on PIRATA mooring at 8N, 38W",8.000,-38.000,observatory,Atlantic,OPERATING,Real Time & Delayed Mode Data; Accessible,1,1,,1,1,,,FRANCE,France-IRDLOCEAN,,http://cdiac.ornl.gov/,http://www.locean-ipsl.upmc.fr/CO2tropiques/,,McPhaden (PMEL);Lefevre (LODYC),michael.j.mcphaden@noaa.gov;nathalie.lefevre@ird.fr,,PIRATA,-,-,-
P0N23W,P0N23W,PIRATA,TROPICAL ATLANTIC,NDBC,31007,200608,michael.j.mcphaden@noaa.gov,200901,PIRATA at 0N 23 W,0.000,-23.000,observatory,Atlantic,OPERATING,Real Time & Delayed Mode Data; Accessible,1,1,1,,,1,,BR-FR-US,USA-NOAA/PMEL,,http://www.brest.ir.f/rpirata/piratafr.html,http://www.pmel.noaa.gov/pirata ,,McPhaden (PMEL),michael.j.mcphaden@noaa.gov;,on existing PIRATA mooring,PIRATA,PMEL,paul.Freitag@noaa.gov,PMEL
P10S10W,P10S10W,PIRATA,TROPICAL ATLANTIC,NDBC,15001,200608,michael.j.mcphaden@noaa.gov,200901,PIRATA at 10S 10W,-10.000,-10.000,surface,Atlantic,OPERATING,Real Time & Delayed Mode Data; Accessible,1,1,,,,,1,BR-FR-US,USA-NOAA/PMEL,,http://www.brest.ir.f/rpirata/piratafr.html,http://www.pmel.noaa.gov/pirata ,,McPhaden (PMEL),michael.j.mcphaden@noaa.gov;,flux reference on existing PIRATA mooring,PIRATA,PMEL,paul.Freitag@noaa.gov,PMEL
P12N23W,P12N23W,PIRATA,TROPICAL ATLANTIC,(NDBC),13001,200608,michael.j.mcphaden@noaa.gov,200901,PIRATA - enhancement,12.000,-23.000,surface,Atlantic,PLANNED,Real Time & Delayed Mode Data; Accessible soon,1,1,,,,,,BR-FR-US,USA-NOAA/PMEL,,http://www.brest.ir.f/rpirata/piratafr.html,http://www.pmel.noaa.gov/pirata ,,McPhaden (PMEL),michael.j.mcphaden@noaa.gov;, + O2 sensor on existing PIRATA mooring ,PIRATA,PMEL,paul.Freitag@noaa.gov,PMEL
P15N38W,P15N38W,PIRATA,TROPICAL ATLANTIC,NDBC,13008,200608,michael.j.mcphaden@noaa.gov,200901,PIRATA at 15N 38W,15.000,-38.000,surface,Atlantic,OPERATING,Real Time & Delayed Mode Data; Accessible,1,1,,,,,1,BR-FR-US,USA-NOAA/PMEL,,http://www.brest.ir.f/rpirata/piratafr.html,http://www.pmel.noaa.gov/pirata ,,McPhaden (PMEL),michael.j.mcphaden@noaa.gov;,flux reference on existing PIRATA mooring,PIRATA,PMEL,paul.Freitag@noaa.gov,PMEL
OOI-ARGENTINE,OOI-ARGENTINE,OOI,, -,NY, - ,usend@ucsd.edu, -,"Ocean Observatories Initiative, South Atlantic, Argentine Basin",-42.000,-42.000,observatory,Atlantic,PLANNED,Real Time & Delayed Mode Data; Accessible soon,1,1,1,1,1,1,1,USA,USA- NSF/WHOI/SIO/OSU,,http://www.whoi.edu/page.do?pid=22317, - ,,Weller; Send; Plueddemann,rweller@whoi.edu;aplueddemann@whoi.edu;usend@ucsd.edu,"Depth 5150m, Acoustically Linked Surface Mooring with Subsurface Profiler Mooring and Mesoscale Flanking Mooring Pair",OOI,-,-,-
MOCHA-A,MOCHA-A,RAPID-MOCHA,, -, -,200503,wjohns@rsmas.miami.edu,200901,MOCHA:A,26.500,-76.850,subsurface,Atlantic,OPERATING,Delayed Mode Data; Accessible,1,,,,,,,USA,USA-RSMAS,,http://www.rsmas.miami.edu/users/mocha/,http://www.bodc.ac.uk/rapidmoc/,,"William Johns (RSMAS, Miami)",wjohns@rsmas.miami.edu,"was ABACO:1, Meridional Overturning Circulation and HeatFlux Array at 26.5°N",RAPID-MOCHA,-,-,-
MOCHA-B,MOCHA-B,RAPID-MOCHA,, -, -,200501,wjohns@rsmas.miami.edu,200901,MOCHA:B,26.500,-76.500,subsurface,Atlantic,OPERATING,Delayed Mode Data; Accessible,1,,,,,,,USA,USA-RSMAS,,http://www.rsmas.miami.edu/users/mocha/,http://www.bodc.ac.uk/rapidmoc/,,"William Johns (RSMAS, Miami)",wjohns@rsmas.miami.edu,"was ABACO:2, Meridional Overturning Circulation and HeatFlux Array at 26.5°N",RAPID-MOCHA,-,-,-
MOCHA-E,MOCHA-E,RAPID-MOCHA,, -, -,200501,wjohns@rsmas.miami.edu,200901,MOCHA:E,26.500,-72.000,subsurface,Atlantic,OPERATING,Delayed Mode Data; Accessible,1,,,,,,,USA,USA-RSMAS,,http://www.rsmas.miami.edu/users/mocha/,http://www.bodc.ac.uk/rapidmoc/,,"William Johns (RSMAS, Miami)",wjohns@rsmas.miami.edu,"was ABACO:3, Meridional Overturning Circulation and HeatFlux Array at 26.5°N",RAPID-MOCHA,-,-,-
RAPID-EB0,RAPID-EB1,RAPID-MOCHA,, -, -,200608,scu@noc.soton.ac.uk,200901,RAPID-EB1,23.757,-24.128,transport,Atlantic,OPERATING,Delayed Mode Data; Accessible,1,,,,,,,UK,UK-NOCS,,http://www.noc.soton.ac.uk/rapid/,http://www.bodc.ac.uk/,,Cunningham (NOC);Darren Rayner;,scu@noc.soton.ac.uk;dr400@noc.soton.ac.uk,,RAPID-MOCHA,-,-,-
RAPID-EBH1,RAPID-EBH1,RAPID-MOCHA,, -, -,200608,scu@noc.soton.ac.uk,200901,RAPID-EBH1,27.286,-15.428,transport,Atlantic,OPERATING,Delayed Mode Data; Accessible,1,,,,,,,UK,UK-NOCS,,http://www.noc.soton.ac.uk/rapid/,http://www.bodc.ac.uk/,,Cunningham (NOC);Darren Rayner;,scu@noc.soton.ac.uk;dr400@noc.soton.ac.uk,,RAPID-MOCHA,-,-,-
RAPID-EBH2,RAPID-EBH2,RAPID-MOCHA,, -, -,200608,scu@noc.soton.ac.uk,200901,RAPID-EBH2,27.612,-14.212,transport,Atlantic,OPERATING,Delayed Mode Data; Accessible,1,,,,,,,UK,UK-NOCS,,http://www.noc.soton.ac.uk/rapid/,http://www.bodc.ac.uk/,,Cunningham (NOC);Darren Rayner;,scu@noc.soton.ac.uk;dr400@noc.soton.ac.uk,,RAPID-MOCHA,-,-,-
RAPID-EBH3,RAPID-EBH3,RAPID-MOCHA,, -, -,200608,scu@noc.soton.ac.uk,200901,RAPID-EBH3,27.813,-13.741,transport,Atlantic,OPERATING,Delayed Mode Data; Accessible,1,,,,,,,UK,UK-NOCS,,http://www.noc.soton.ac.uk/rapid/,http://www.bodc.ac.uk/,,Cunningham (NOC);Darren Rayner;,scu@noc.soton.ac.uk;dr400@noc.soton.ac.uk,,RAPID-MOCHA,-,-,-
RAPID-EBH4,RAPID-EBH4,RAPID-MOCHA,, -, -,200608,scu@noc.soton.ac.uk,200901,RAPID-EBH4,27.850,-13.540,transport,Atlantic,OPERATING,Delayed Mode Data; Accessible,1,,,,,,,UK,UK-NOCS,,http://www.noc.soton.ac.uk/rapid/,http://www.bodc.ac.uk/,,Cunningham (NOC);Darren Rayner;,scu@noc.soton.ac.uk;dr400@noc.soton.ac.uk,,RAPID-MOCHA,-,-,-
RAPID-EBH5,RAPID-EBH5,RAPID-MOCHA,, -, -,200608,scu@noc.soton.ac.uk,200901,RAPID-EBH5,27.839,-13.547,transport,Atlantic,OPERATING,Delayed Mode Data; Accessible,1,,,,,,,UK,UK-NOCS,,http://www.noc.soton.ac.uk/rapid/,http://www.bodc.ac.uk/,,Cunningham (NOC);Darren Rayner;,scu@noc.soton.ac.uk;dr400@noc.soton.ac.uk,,RAPID-MOCHA,-,-,-
RAPID-EBHi,RAPID-EBHi,RAPID-MOCHA,, -, -,200608,scu@noc.soton.ac.uk,200901,RAPID-EBHi,24.952,-21.269,transport,Atlantic,OPERATING,Delayed Mode Data; Accessible,1,,,,,,,UK,UK-NOCS,,http://www.noc.soton.ac.uk/rapid/,http://www.bodc.ac.uk/,,Cunningham (NOC);Darren Rayner;,scu@noc.soton.ac.uk;dr400@noc.soton.ac.uk,,RAPID-MOCHA,-,-,-
RAPID-EBL1,RAPID-EBL1,RAPID-MOCHA,, -, -,200608,scu@noc.soton.ac.uk,200901,RAPID-EBL1,23.802,-24.114,transport,Atlantic,OPERATING,Delayed Mode Data; Accessible,1,,,,,,,UK,UK-NOCS,,http://www.noc.soton.ac.uk/rapid/,http://www.bodc.ac.uk/,,Cunningham (NOC);Darren Rayner;,scu@noc.soton.ac.uk;dr400@noc.soton.ac.uk,,RAPID-MOCHA,-,-,-
RAPID-EBL2,RAPID-EBL2,RAPID-MOCHA,, -, -,200608,scu@noc.soton.ac.uk,200901,RAPID-EBL2,27.285,-15.428,transport,Atlantic,OPERATING,Delayed Mode Data; Accessible,1,,,,,,,UK,UK-NOCS,,http://www.noc.soton.ac.uk/rapid/,http://www.bodc.ac.uk/,,Cunningham (NOC);Darren Rayner;,scu@noc.soton.ac.uk;dr400@noc.soton.ac.uk,,RAPID-MOCHA,-,-,-
RAPID-EBL3,RAPID-EBL3,RAPID-MOCHA,, -, -,200608,scu@noc.soton.ac.uk,200901,RAPID-EBL3,23.887,-24.072,transport,Atlantic,OPERATING,Delayed Mode Data; Accessible,1,,,,,,,UK,UK-NOCS,,http://www.noc.soton.ac.uk/rapid/,http://www.bodc.ac.uk/,,Cunningham (NOC);Darren Rayner;,scu@noc.soton.ac.uk;dr400@noc.soton.ac.uk,,RAPID-MOCHA,-,-,-
RAPID-EBL4,RAPID-EBL4,RAPID-MOCHA,, -, -,200608,scu@noc.soton.ac.uk,200901,RAPID-EBL4,27.286,-15.429,transport,Atlantic,OPERATING,Delayed Mode Data; Accessible,1,,,,,,,UK,UK-NOCS,,http://www.noc.soton.ac.uk/rapid/,http://www.bodc.ac.uk/,,Cunningham (NOC);Darren Rayner;,scu@noc.soton.ac.uk;dr400@noc.soton.ac.uk,,RAPID-MOCHA,-,-,-
RAPID-EBM1,RAPID-EBM1,RAPID-MOCHA,, -, -,200608,scu@noc.soton.ac.uk,200901,RAPID-EBM1,27.894,-13.406,transport,Atlantic,OPERATING,Delayed Mode Data; Accessible,1,,,,,,,UK,UK-NOCS,,http://www.noc.soton.ac.uk/rapid/,http://www.bodc.ac.uk/,,Cunningham (NOC);Darren Rayner;,scu@noc.soton.ac.uk;dr400@noc.soton.ac.uk,,RAPID-MOCHA,-,-,-
RAPID-EBM4,RAPID-EBM4,RAPID-MOCHA,, -, -,200608,scu@noc.soton.ac.uk,200901,RAPID-EBM4,27.908,-13.368,transport,Atlantic,OPERATING,Delayed Mode Data; Accessible,1,,,,,,,UK,UK-NOCS,,http://www.noc.soton.ac.uk/rapid/,http://www.bodc.ac.uk/,,Cunningham (NOC);Darren Rayner;,scu@noc.soton.ac.uk;dr400@noc.soton.ac.uk,,RAPID-MOCHA,-,-,-
RAPID-EBM5,RAPID-EBM5,RAPID-MOCHA,, -, -,200608,scu@noc.soton.ac.uk,200901,RAPID-EBM5,27.910,-13.360,transport,Atlantic,OPERATING,Delayed Mode Data; Accessible,1,,,,,,,UK,UK-NOCS,,http://www.noc.soton.ac.uk/rapid/,http://www.bodc.ac.uk/,,Cunningham (NOC);Darren Rayner;,scu@noc.soton.ac.uk;dr400@noc.soton.ac.uk,,RAPID-MOCHA,-,-,-
RAPID-EBM6,RAPID-EBM6,RAPID-MOCHA,, -, -,200608,scu@noc.soton.ac.uk,200901,RAPID-EBM6,27.920,-13.332,transport,Atlantic,OPERATING,Delayed Mode Data; Accessible,1,,,,,,,UK,UK-NOCS,,http://www.noc.soton.ac.uk/rapid/,http://www.bodc.ac.uk/,,Cunningham (NOC);Darren Rayner;,scu@noc.soton.ac.uk;dr400@noc.soton.ac.uk,,RAPID-MOCHA,-,-,-
RAPID-EBP0,RAPID-EBP1,RAPID-MOCHA,, -, -,200608,scu@noc.soton.ac.uk,200901,RAPID-EBP1,23.823,-24.100,transport,Atlantic,OPERATING,Delayed Mode Data; Accessible,1,,,,,,,UK,UK-NOCS,,http://www.noc.soton.ac.uk/rapid/,http://www.bodc.ac.uk/,,Cunningham (NOC);Darren Rayner;,scu@noc.soton.ac.uk;dr400@noc.soton.ac.uk,,RAPID-MOCHA,-,-,-
RAPID-MAR0,RAPID-MAR0,RAPID-MOCHA,, -, -,200608,scu@noc.soton.ac.uk,200901,RAPID-MAR0,25.106,-52.010,transport,Atlantic,OPERATING,Delayed Mode Data; Accessible,1,,,,,,,UK,UK-NOCS,,http://www.noc.soton.ac.uk/rapid/,http://www.bodc.ac.uk/,,Cunningham (NOC);Darren Rayner;,scu@noc.soton.ac.uk;dr400@noc.soton.ac.uk,,RAPID-MOCHA,-,-,-
RAPID-MAR1,RAPID-MAR1,RAPID-MOCHA,, -, -,200608,scu@noc.soton.ac.uk,200901,RAPID-MAR1,24.176,-49.728,transport,Atlantic,OPERATING,Delayed Mode Data; Accessible,1,,,,,,,UK,UK-NOCS,,http://www.noc.soton.ac.uk/rapid/,http://www.bodc.ac.uk/,,Cunningham (NOC);Darren Rayner;,scu@noc.soton.ac.uk;dr400@noc.soton.ac.uk,,RAPID-MOCHA,-,-,-
RAPID-MAR2,RAPID-MAR2,RAPID-MOCHA,, -, -,200608,scu@noc.soton.ac.uk,200901,RAPID-MAR2,24.177,-49.756,transport,Atlantic,OPERATING,Delayed Mode Data; Accessible,1,,,,,,,UK,UK-NOCS,,http://www.noc.soton.ac.uk/rapid/,http://www.bodc.ac.uk/,,Cunningham (NOC);Darren Rayner;,scu@noc.soton.ac.uk;dr400@noc.soton.ac.uk,,RAPID-MOCHA,-,-,-
RAPID-MAR3,RAPID-MAR3,RAPID-MOCHA,, -, -,200608,scu@noc.soton.ac.uk,200901,RAPID-MAR3,23.871,-41.089,transport,Atlantic,OPERATING,Delayed Mode Data; Accessible,1,,,,,,,UK,UK-NOCS,,http://www.noc.soton.ac.uk/rapid/,http://www.bodc.ac.uk/,,Cunningham (NOC);Darren Rayner;,scu@noc.soton.ac.uk;dr400@noc.soton.ac.uk,,RAPID-MOCHA,-,-,-
RAPID-MARL1,RAPID-MARL1,RAPID-MOCHA,, -, -,200608,scu@noc.soton.ac.uk,200901,RAPID-MARL1,24.195,-49.711,transport,Atlantic,OPERATING,Delayed Mode Data; Accessible,1,,,,,,,UK,UK-NOCS,,http://www.noc.soton.ac.uk/rapid/,http://www.bodc.ac.uk/,,Cunningham (NOC);Darren Rayner;,scu@noc.soton.ac.uk;dr400@noc.soton.ac.uk,,RAPID-MOCHA,-,-,-
RAPID-MARL2,RAPID-MARL2,RAPID-MOCHA,, -, -,200608,scu@noc.soton.ac.uk,200901,RAPID-MARL2,23.866,-41.092,transport,Atlantic,OPERATING,Delayed Mode Data; Accessible,1,,,,,,,UK,UK-NOCS,,http://www.noc.soton.ac.uk/rapid/,http://www.bodc.ac.uk/,,Cunningham (NOC);Darren Rayner;,scu@noc.soton.ac.uk;dr400@noc.soton.ac.uk,,RAPID-MOCHA,-,-,-
RAPID-MARL3,RAPID-MARL3,RAPID-MOCHA,, -, -,200608,scu@noc.soton.ac.uk,200901,RAPID-MARL3,24.204,-49.728,transport,Atlantic,OPERATING,Delayed Mode Data; Accessible,1,,,,,,,UK,UK-NOCS,,http://www.noc.soton.ac.uk/rapid/,http://www.bodc.ac.uk/,,Cunningham (NOC);Darren Rayner;,scu@noc.soton.ac.uk;dr400@noc.soton.ac.uk,,RAPID-MOCHA,-,-,-
RAPID-MARL4,RAPID-MARL4,RAPID-MOCHA,, -, -,200608,scu@noc.soton.ac.uk,200901,RAPID-MARL4,23.860,-41.101,transport,Atlantic,OPERATING,Delayed Mode Data; Accessible,1,,,,,,,UK,UK-NOCS,,http://www.noc.soton.ac.uk/rapid/,http://www.bodc.ac.uk/,,Cunningham (NOC);Darren Rayner;,scu@noc.soton.ac.uk;dr400@noc.soton.ac.uk,,RAPID-MOCHA,-,-,-
RAPID-WB1,RAPID-WB1,RAPID-MOCHA,, -, -,200608,scu@noc.soton.ac.uk,200901,RAPID-WB1,26.500,-76.821,transport,Atlantic,OPERATING,Delayed Mode Data; Accessible,1,,,,,,,UK,UK-NOCS,,http://www.noc.soton.ac.uk/rapid/,http://www.bodc.ac.uk/,,Cunningham (NOC);Darren Rayner;,scu@noc.soton.ac.uk;dr400@noc.soton.ac.uk,,RAPID-MOCHA,-,-,-
RAPID-WB2,RAPID-WB2,RAPID-MOCHA,, -, -,200608,scu@noc.soton.ac.uk,200901,RAPID-WB2,26.502,-76.742,transport,Atlantic,OPERATING,Delayed Mode Data; Accessible,1,,,,,,,UK,UK-NOCS,,http://www.noc.soton.ac.uk/rapid/,http://www.bodc.ac.uk/,,Cunningham (NOC);Darren Rayner;,scu@noc.soton.ac.uk;dr400@noc.soton.ac.uk,,RAPID-MOCHA,-,-,-
RAPID-WB4,RAPID-WB4,RAPID-MOCHA,, -, -,200608,scu@noc.soton.ac.uk,200901,RAPID-WB4,26.415,-75.698,transport,Atlantic,OPERATING,Delayed Mode Data; Accessible,1,,,,,,,UK,UK-NOCS,,http://www.noc.soton.ac.uk/rapid/,http://www.bodc.ac.uk/,,Cunningham (NOC);Darren Rayner;,scu@noc.soton.ac.uk;dr400@noc.soton.ac.uk,,RAPID-MOCHA,-,-,-
RAPID-WB6,RAPID-WB6,RAPID-MOCHA,, -, -,200608,scu@noc.soton.ac.uk,200901,RAPID-WB6,26.500,-70.520,transport,Atlantic,OPERATING,Delayed Mode Data; Accessible,1,,,,,,,UK,UK-NOCS,,http://www.noc.soton.ac.uk/rapid/,http://www.bodc.ac.uk/,,Cunningham (NOC);Darren Rayner;,scu@noc.soton.ac.uk;dr400@noc.soton.ac.uk,,RAPID-MOCHA,-,-,-
RAPID-WBADCP,RAPID-WBADCP,RAPID-MOCHA,, -, -,200608,scu@noc.soton.ac.uk,200901,RAPID-WBADCP,26.525,-76.869,transport,Atlantic,OPERATING,Delayed Mode Data; Accessible,1,,,,,,,UK,UK-NOCS,,http://www.noc.soton.ac.uk/rapid/,http://www.bodc.ac.uk/,,Cunningham (NOC);Darren Rayner;,scu@noc.soton.ac.uk;dr400@noc.soton.ac.uk,,RAPID-MOCHA,-,-,-
RAPID-WBH1,RAPID-WBH2,RAPID-MOCHA,, -, -,200608,scu@noc.soton.ac.uk,200901,RAPID-WBH2,26.465,-76.651,transport,Atlantic,OPERATING,Delayed Mode Data; Accessible,1,,,,,,,UK,UK-NOCS,,http://www.noc.soton.ac.uk/rapid/,http://www.bodc.ac.uk/,,Cunningham (NOC);Darren Rayner;,scu@noc.soton.ac.uk;dr400@noc.soton.ac.uk,,RAPID-MOCHA,-,-,-
RAPID-WBL1,RAPID-WBL1,RAPID-MOCHA,, -, -,200608,scu@noc.soton.ac.uk,200901,RAPID-WBL1,26.506,-76.745,transport,Atlantic,OPERATING,Delayed Mode Data; Accessible,1,,,,,,,UK,UK-NOCS,,http://www.noc.soton.ac.uk/rapid/,http://www.bodc.ac.uk/,,Cunningham (NOC);Darren Rayner;,scu@noc.soton.ac.uk;dr400@noc.soton.ac.uk,,RAPID-MOCHA,-,-,-
RAPID-WBL2,RAPID-WBL2,RAPID-MOCHA,, -, -,200608,scu@noc.soton.ac.uk,200901,RAPID-WBL2,26.517,-76.148,transport,Atlantic,OPERATING,Delayed Mode Data; Accessible,1,,,,,,,UK,UK-NOCS,,http://www.noc.soton.ac.uk/rapid/,http://www.bodc.ac.uk/,,Cunningham (NOC);Darren Rayner;,scu@noc.soton.ac.uk;dr400@noc.soton.ac.uk,,RAPID-MOCHA,-,-,-
RAPID-WBL3,RAPID-WBL3,RAPID-MOCHA,, -, -,200608,scu@noc.soton.ac.uk,200901,RAPID-WBL3,26.507,-76.744,transport,Atlantic,OPERATING,Delayed Mode Data; Accessible,1,,,,,,,UK,UK-NOCS,,http://www.noc.soton.ac.uk/rapid/,http://www.bodc.ac.uk/,,Cunningham (NOC);Darren Rayner;,scu@noc.soton.ac.uk;dr400@noc.soton.ac.uk,,RAPID-MOCHA,-,-,-
RAPID-WBL4,RAPID-WBL4,RAPID-MOCHA,, -, -,200608,scu@noc.soton.ac.uk,200901,RAPID-WBL4,26.404,-75.710,transport,Atlantic,OPERATING,Delayed Mode Data; Accessible,1,,,,,,,UK,UK-NOCS,,http://www.noc.soton.ac.uk/rapid/,http://www.bodc.ac.uk/,,Cunningham (NOC);Darren Rayner;,scu@noc.soton.ac.uk;dr400@noc.soton.ac.uk,,RAPID-MOCHA,-,-,-
RAPID-WBLB,RAPID-WBLB,RAPID-MOCHA,, -, -,200608,scu@noc.soton.ac.uk,200901,RAPID-WBLB,26.499,-76.494,transport,Atlantic,OPERATING,Delayed Mode Data; Accessible,1,,,,,,,UK,UK-NOCS,,http://www.noc.soton.ac.uk/rapid/,http://www.bodc.ac.uk/,,Cunningham (NOC);Darren Rayner;,scu@noc.soton.ac.uk;dr400@noc.soton.ac.uk,,RAPID-MOCHA,-,-,-
LINE-W,LINE-W1,,GULF STREAM,NDBC,NY,200609,jtoole@whoi.edu,200901,Line W-1,39.602,-69.717,subsurface,Atlantic,OPERATING,Delayed Mode Data; Accessible,1,,,1,,,,USA,USA-WHOI,,http://www.whoi.edu/science/PO/linew/,http://www.whoi.edu/science/PO/linew/data/index.htm,ftp://data.ndbc.noaa.gov/data/oceansites/LINE-W1(future),Toole (WHOI);R Curry (WHOI),jtoole@whoi.edu;rcurry@whoi.edu,"T/C, ADCP, CM",,WHOI (PLANNED),ngalbraith@whoi.edu,-
LINE-W,LINE-W2,,GULF STREAM,NDBC,NY,200609,jtoole@whoi.edu,200901,Line W-2,39.217,-69.445,subsurface,Atlantic,OPERATING,Delayed Mode Data; Accessible,1,,,1,,,,USA,USA-WHOI,,http://www.whoi.edu/science/PO/linew/,http://www.whoi.edu/science/PO/linew/data/index.htm,ftp://data.ndbc.noaa.gov/data/oceansites/LINE-W2(future),Toole (WHOI);R Curry (WHOI),jtoole@whoi.edu;rcurry@whoi.edu,"MP , CM, T/C",,WHOI (PLANNED),ngalbraith@whoi.edu,-
LINE-W,LINE-W3,,GULF STREAM,NDBC,NY,200609,jtoole@whoi.edu,200901,Line W-3,38.845,-69.188,subsurface,Atlantic,OPERATING,Delayed Mode Data; Accessible,1,,,1,,,,USA,USA-WHOI,,http://www.whoi.edu/science/PO/linew/,http://www.whoi.edu/science/PO/linew/data/index.htm,ftp://data.ndbc.noaa.gov/data/oceansites/LINE-W3(future),Toole (WHOI);R Curry (WHOI),jtoole@whoi.edu;rcurry@whoi.edu,"T/C, CM",,WHOI (PLANNED),ngalbraith@whoi.edu,-
LINE-W,LINE-W4,,GULF STREAM,NDBC,NY,200609,jtoole@whoi.edu,200901,Line W-4,38.425,-68.903,subsurface,Atlantic,OPERATING,Delayed Mode Data; Accessible,1,,,1,,,,USA,USA-WHOI,,http://www.whoi.edu/science/PO/linew/,http://www.whoi.edu/science/PO/linew/data/index.htm,ftp://data.ndbc.noaa.gov/data/oceansites/LINE-W4(future),Toole (WHOI);R Curry (WHOI),jtoole@whoi.edu;rcurry@whoi.edu,"MP, T/C, CM",,WHOI (PLANNED),ngalbraith@whoi.edu,-
LINE-W,LINE-W5,,GULF STREAM,NDBC,NY,200609,jtoole@whoi.edu,200901,Line W-5,38.073,-68.663,subsurface,Atlantic,OPERATING,Delayed Mode Data; Accessible,1,,,1,,,,USA,USA-WHOI,,http://www.whoi.edu/science/PO/linew/,http://www.whoi.edu/science/PO/linew/data/index.htm,ftp://data.ndbc.noaa.gov/data/oceansites/LINE-W5(future),Toole (WHOI);R Curry (WHOI),jtoole@whoi.edu;rcurry@whoi.edu,"T/C, CM",,WHOI (PLANNED),ngalbraith@whoi.edu,-
VEMA-CHANNEL-E,VC-EAST,VEMA-CHANNEL,, -, - ,200608,tmueller@ifm-geomar.de,200902,VEMA channel East,-31.255,-39.316,subsurface,Atlantic,OPERATING,Delayed Mode Data; Not Accessible,1,,,,,,,GERMANY,GERMANY-IFMGEOMAR,,, - ,,Müller (IFMGEOMAR);Walter Zenk;N Hogg; M Visbeck,tmueller@ifm-geomar.de,,VEMA-CHANNEL,-,-,-
VEMA-CHANNEL-W,VC-WEST,VEMA-CHANNEL,, -, - ,200608,tmueller@ifm-geomar.de,200902,VEMA channel West,-31.260,-39.453,subsurface,Atlantic,OPERATING,Delayed Mode Data; Not Accessible,1,,,,,,,GERMANY,GERMANY-IFMGEOMAR,,, - ,,Müller (IFMGEOMAR);Walter Zenk;N Hogg; M Visbeck,tmueller@ifm-geomar.de,,VEMA-CHANNEL,-,-,-
FLORIDA-T1,FLORIDA-T1,,, -,NY,200608,Christopher.Meinen@noaa.gov,200812,Western Boundary Time Series - Florida Transport:1,27.000,-77.000,transport,Atlantic,OPERATING,Real Time Data; Accessible,1,,,,,,,USA,USA-NOAA/AOML,,http://www.aoml.noaa.gov/phod/Floridacurrent/,http://www.aoml.noaa.gov/phod/Floridacurrent/data_access.php,http://www.aoml.noaa.gov/phod/Floridacurrent/data_access.php,Meinen;Baringer,Christopher.Meinen@noaa.gov;Molly.Baringer@noaa.gov,,WBTS,-,-,-
FLORIDA-T2,FLORIDA-T2,,, -,NY,200608,Christopher.Meinen@noaa.gov,200812,Western Boundary Time Series - Florida Transport:2,27.000,-80.000,transport,Atlantic,OPERATING,Real Time Data; Accessible,1,,,,,,,USA,USA-NOAA/AOML,,http://www.aoml.noaa.gov/phod/Floridacurrent/,http://www.aoml.noaa.gov/phod/Floridacurrent/data_access.php,http://www.aoml.noaa.gov/phod/Floridacurrent/data_access.php,Meinen;Baringer,Christopher.Meinen@noaa.gov;Molly.Baringer@noaa.gov,,WBTS,-,-,-
